1,Soil Series,Name,"Erodibility 
Class","Runoff
 Class  
",PSCG,N leaching,Type,Substrata,Modifier,"Soil 
Acidity
Group
",,1,,,,,,,Formula,N,P,K,,,N (Below),P(Below),K(Below),N(Above),P(Above),K(Above),"Fertilizer
Rec.",,,,,,,,,,
18,Aguilita-AcE(M),Aguilita,Very High,High,Very High,Medium,L,R,bd,AG 1,,K,<78,>=78<=156,>156,,,,10-10-08,10,10,8,,Citrus 6 Yrs or Less (LD),187,35,186,187,,,"Apply 9 lb of fertilizers using the formulas 12-6-10, 15-5-10, 10-5-15, 10-5-20, 12-6-16  or a similar one on soils with low soil test values.  ",,,,,,,,,,
19,Aguilita-AgD(P),Aguilita,High,Medium,High,Medium,L,R,bd,AG 1,,Fe,<2.5,>=2.5<=4.5,>4.5,,,,10-10-10,10,10,10,,Citrus 8 Yrs or Less (LD),250,47,249,250,,,"Apply 13 lb of fertilizers using the formulas 12-6-10, 15-5-10, 10-5-15, 10-5-20, 12-6-16  or a similar one on soils with low soil test values.  ",,,,,,,,,,
20,Aguilita-AgF(P),Aguilita,Very High,High,High,Medium,L,R,bd,AG 1,,Mn,<1.0,1,>1.0,,,,10-10-20,10,10,20,,Citrus 10 Yrs or Less (LD),312,59,310,312,,,"Apply 17 lb of fertilizers using the formulas 12-6-10, 15-5-10, 10-5-15, 10-5-20, 12-6-16  or a similar one on soils with low soil test values.  ",,,,,,,,,,
21,Aguilita-AhF(P),Aguilita,Very High,High,High,Medium,L,R,bd,AG 1,,Zn,<0.5,>=0.5<=1,>1,,,,10-15-15,10,15,15,,Citrus 2 Yrs or Less (HD),103,18,57,103,,,"Split in two applications at a rate of 1.5 lb per tree one using the formulas 12-6-10, 15-5-10  or a similar one on soils with low soil test values.  ",,,,,,,,,,
22,Aguirre-Ag(L),Aguirre,Very Low,Medium,Medium,Very Low,C,C,gnv,AG 1,,Cu,<0.2,0.2,>0.2,,,,10-20-20,10,20,20,,Citrus 4 Yrs or Less (HD),233,41,133,233,,,"Split in two applications at a rate of 3 lb to 4 lb using the formulas 12-6-10, 15-5-10  or a similar one on soils with low soil test values.  ",,,,,,,,,,
23,Aibonito-AbD(SJ),Aibonito,Medium,Medium,Very High,Very Low,C,C,ae,AG 3,,,,,,,,,10-25-25,10,25,25,,Citrus 6 Yrs or Less (HD),343,65,342,343,,,"Apply 9 lb of fertilizers using the formulas 12-6-10, 15-5-10, 10-5-15, 10-5-20, 12-6-16  or a similar one on soils with low soil test values.  ",,,,,,,,,,
24,Aibonito-AbE(SJ),Aibonito,High,High,Very High,Very Low,C,C,ae,AG 3,,,,,,,,,12-03-12,12,3,12,,Citrus 8 Yrs or Less (HD),460,87,455,460,,,"Apply 13 lb of fertilizers using the formulas 12-6-10, 15-5-10, 10-5-15, 10-5-20, 12-6-16  or a similar one on soils with low soil test values.  ",,,,,,,,,,
25,Aibonito-AdE2(M),Aibonito,High,High,Very High,Very Low,C,C,ae,AG 3,,Soil Survey Area,,,,,,,12-04-06,12,4,6,,Citrus 10 Yrs or Less (HD),594,108,570,594,,,"Apply 17 lb of fertilizers using the formulas 12-6-10, 15-5-10, 10-5-15, 10-5-20, 12-6-16  or a similar one on soils with low soil test values.  ",,,,,,,,,,
26,Algarrobo-AgC(A),Algarrobo,Medium,Low,Very Low,High,S,L,eh,AG 2,,,,,,,,,12-04-10,12,4,10,,Coffee 2 Yrs or Less (LD),137,59,91,,,,Split in four applications at a rate of 5 oz per plant using the formulas 10-10-8-3 and 9-10-5-3 plus micronutrients or a similar one.  ,,,,,,,,,,
27,Almirante-AlB(A) ,Almirante,Medium,Low,Medium,Medium,C,C,ae,AG 3,,Arecibo,,,,,,,12-05-15,12,5,15,,Coffee 4 Yrs or Less (LD),491,70,408,,,,"Split in three applications at a rate of 16 oz per plant using the formulas 15-5-15-3, 12-6-16-3, 10-5-15-3 and 12-5-15-3 plus micronutrients or a similar one on soils with low soil test values.  ",,,,,,,,,,
28,Almirante-AlC(A),Almirante,Medium,Medium,Medium,Medium,C,C,ae,AG 3,,Mayaguez,,,,,,,12-05-20,12,5,20,,Coffee 2 Yrs or Less (HD),228,98,149,,,,Split in four applications at a rate of 5 oz per plant using the formulas 10-10-8-3 and 9-10-5-3 plus micronutrients or a similar one on soils with low soil test values.  ,,,,,,,,,,
29,Almirante-AmB(A),Almirante,Medium,Low,Medium,Medium,C,C,ae,AG 3,,San Juan,,,,,,,12-06-06,12,6,6,,Coffee 4 Yrs or Less (HD),819,117,680,,,,"Split in three applications at a rate of 16 oz per plant using the formulas 15-5-15-3, 12-6-16-3, 10-5-15-3 and 12-5-15-3 plus micronutrients or a similar one on soils with low soil test values.  ",,,,,,,,,,
