1,Soil Series,Name,"Erodibility 
Class","Runoff
 Class  
",PSCG,N leaching,Type,Substrata,Modifier,"Soil 
Acidity
Group
",,1,,,,,,,Formula,N,P,K,,,N (Below),P(Below),K(Below),N(Above),P(Above),K(Above),"Fertilizer
Rec.",,,,,,,,,,
96,Catano-Cn(SJ),Catano,Very Low,Very Low,Very Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Cayagua-CgC2(H),Cayagua,High,Medium,Low,Low,L,C,hg,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Cayagua-CgD2(H),Cayagua,Very High,Medium,Low,Medium,L,C,hg,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Cayagua-Co(SJ),Cayagua,High,Medium,Low,Low,L,C,hg,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Ciales-GvF(H),Ciales,Very High,High,Medium,Very Low,L,R,ehg,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Cidral-CfC2(M),Cidral,Medium,Medium,Medium,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Cintrona-Cr(P),Cintrona,Very Low,Medium,Medium,Very Low,C,C,bg,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Coamo-ClB(H),Coamo,Medium,Medium,Medium,Low,L,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Coamo-ClC(H),Coamo,Medium,High,Medium,Low,L,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Colinas-ClD(M),Colinas,High,Medium,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Colinas-ClD2(A),Colinas,High,Medium,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Colinas-ClE(M),Colinas,Very High,High,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Colinas-ClE2(A),Colinas,Very High,High,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Colinas-ClF2(A),Colinas,Very High,High,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Colinas-ClF2(M),Colinas,Very High,High,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Colinas-CmD(M),Colinas,High,Medium,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Colinas-CmE(M),Colinas,Very High,High,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Colinas-CmF2(A),Colinas,Very High,High,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Colinas-CrD2(SJ),Colinas,High,Medium,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Colinas-CrE2(SJ),Colinas,Very High,High,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Colinas-CrF2(SJ),Colinas,Very High,High,High,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Coloso-Cn(A),Coloso,Very Low,Very Low,Medium,High,L,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Coloso-Cn(M),Coloso,Very Low,Very Low,Medium,High,L,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Coloso-Co(H),Coloso,Very Low,Low,Medium,High,L,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Coloso-Cr(H),Coloso,Very Low,Low,Medium,High,L,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Coloso-Cs(SJ),Coloso,Very Low,Very Low,Medium,High,L,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Consejo-CoE(A),Consejo,High,High,Medium,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Consejo-CoF(A),Consejo,High,High,Medium,Low,C,C,ae,AG 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Constancia-Ct(P),Constancia,Very Low,Medium,Medium,Very Low,C,C,bg,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Consumo-CoE(M),Consumo,High,High,Medium,Medium,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Consumo-CoF2(M),Consumo,High,High,Medium,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Consumo-CpE(A),Consumo,High,High,Medium,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Consumo-CpF(A),Consumo,High,High,Medium,High,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Consumo-CuE(SJ),Consumo,High,High,Medium,Medium,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Consumo-CuF(SJ),Consumo,High,High,Medium,Medium,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Consumo-CuF2(P),Consumo,High,High,Medium,Medium,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Corcega-Cr(M),Corcega,Medium,Very Low,Medium,High,L,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Corcega-Cs(H),Corcega,Medium,Very Low,Low,High,L,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Corozal-CrC(A),Corozal,High,High,Medium,Low,C,C,aeg,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Corozal-CzC(SJ),Corozal,High,High,Medium,Low,C,C,aeg,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Corozo-CsC(A),Corozo,Medium,Low,Very Low,High,S,L,eh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Cortada-Cx(P),Cortada,Low,Very Low,Medium,Low,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Cotito-CtB2(M),Cotito,Medium,Low,High,Medium,C,R,ehi,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Coto-CtB(A),Coto,Low,Low,High,Medium,C,C,ehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Coto-CtC(A),Coto,Low,Medium,High,Medium,C,C,ehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Coto-CuB2(M),Coto,Low,Low,High,Medium,C,C,ehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Coto-CuC2(M),Coto,Low,Medium,High,Medium,C,C,ehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Coto-CvB(M),Coto,Low,Low,Medium,Medium,C,C,ehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Cuchillas-CuF(A),Cuchillas,Very High,High,Medium,Low,L,R,eh,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Cuchillas-CvF(A),Cuchillas,Very High,High,Medium,Low,L,R,eh,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Cuchillas-CwF(M),Cuchillas,Very High,High,Medium,Low,L,R,eh,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Cuyon-CyB(P),Cuyon,Medium,Very Low,Low,Medium,L,S,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Daguao-DaC(H),Daguao,High,Medium,Medium,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Daguao-DcE2(H),Daguao Variant,Medium,High,Medium,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Daguey-DaC(SJ),Daguey,Medium,Medium,Very High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Daguey-DaD(P),Daguey,Medium,Medium,Very High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Daguey-DaD(SJ),Daguey,Medium,Medium,Very High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Daguey-DaD2(A),Daguey,Medium,Medium,Very High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Daguey-DaD2(M),Daguey,Medium,Medium,Very High,Low,C,C,dehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Daguey-DaE2(M),Daguey,High,High,Very High,Low,C,C,dehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Delicias-DcD2(M),Delicias,Medium,Medium,Very High,Medium,C,C,dehi,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Descalabrado-DeC(L),Descalabrado,Medium,Medium,Medium,Very Low,L,R,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Descalabrado-DeC(M),Descalabrado,High,Medium,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Descalabrado-DeC2(H),Descalabrado,High,Medium,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Descalabrado-DeD(L),Descalabrado,High,Medium,Medium,Very Low,L,R,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Descalabrado-DeD(M),Descalabrado,High,Medium,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Descalabrado-DeE2(H),Descalabrado,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,DescalabradoDeF(L),Descalabrado,Very High,High,Medium,Very Low,L,R,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Descalabrado-DeF(M),Descalabrado,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Descalabrado-DeF(SJ),Descalabrado,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Descalabrado-DgF(SJ),Descalabrado,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Descalabrado-DgF2(H),Descalabrado,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Descalabrado-DrF(H),Descalabrado,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Dique-Dm(SJ),Dique,Very Low,Low,Low,High,L,L,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Dique-Du(M),Dique,Very Low,Very Low,Low,High,L,L,None,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Durados-Dr(SJ),Durados,Medium,Very Low,Low,High,L,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Ensenada-EnC(P),Ensenada,Medium,Medium,Medium,Medium,C,C,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Espinal-Es(M),Espinal,Very Low,Very Low,Very Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Espinosa-EaB(A),Espinosa,Medium,Low,Low,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Espinosa-EaC(A),Espinosa,Medium,Medium,Low,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Espinosa-EbB(A),Espinosa,Medium,Low,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Espinosa-EbC(A),Espinosa,Medium,Medium,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Espinosa-EcB(A),Espinosa,Medium,Low,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Espinosa-EcC(A),Espinosa,Medium,Medium,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Estacion-Es(SJ),Estacion,Very Low,Low,Medium,Medium,L,L,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Fajardo-FaC(H),Fajardo,Medium,High,Medium,Low,C,C,g,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,Fajardo-FaC2(H),Fajardo,Medium,High,Medium,Low,C,C,g,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Fe-Fe(L),Fe,Very Low,Medium,Medium,Very Low,C,C,dnv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Fe-Fe(P),Fe,Very Low,Medium,Medium,Very Low,C,C,dnv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Fortuna-Fo(H),Fortuna,Very Low,Low,Medium,High,C,C,gh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Fraternidad-FrA(H),Fraternidad,Low,Low,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Fraternidad-FrA(L),Fraternidad,Low,Low,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Fraternidad-FrB(H),Fraternidad,Medium,Medium,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Fraternidad-FrB(L),Fraternidad,Medium,Medium,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Fraternidad-Ft(L),Fraternidad,Very Low,Low,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Fraternidad-FtB(P),Fraternidad,Medium,Medium,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Fraternidad-FtC2(P),Fraternidad,Medium,High,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Fraternidad-FvA(L),Fraternidad,Low,Low,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Fraternidad-FvB(L),Fraternidad,Medium,Medium,Low,Very Low,C,C,dv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Garrochales-Ga(A),Garrochales,Medium,Very Low,Very Low,High,O,None,None,AG 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Guamani-Gm(H),Guamani,Very Low,Low,Medium,Medium,L,L,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Guanabano-GoF(P),Guanabano,Very High,High,Medium,Low,C,C,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Guanajibo-GnC(M),Guanajibo,Medium,Low,Medium,Low,L,L,ae,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Guanajibo-GoC(M),Guanajibo,Medium,Low,Medium,Low,L,L,ae,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Guanica-Gc(L),Guanica,Very Low,Medium,Low,Very Low,C,C,gn,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Guayabo-Gf(L),Guayabo,Low,Very Low,Very Low,High,S,S,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Guayabota-GvF(H),Guayabota,Very High,High,Medium,Very Low,L,R,ehg,AG 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Guayama-DgF2(H),Guayama,Very High,High,Medium,Very Low,L,R,d,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Guayama-GuD(L),Guayama,High,Medium,Medium,Very Low,L,R,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Guayama-GuF(L),Guayama,Very High,High,Medium,Very Low,L,R,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Guayama-GuF(SJ),Guayama,Very High,High,Medium,Very Low,L,R,d,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Guayama-GyC2(H),Guayama Variant,Medium,Medium,Medium,Medium,L,R,d,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Guerrero-GeC(A),Guerrero,Medium,Low,Very Low,High,S,C,ae,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Guerrero-GuB(M),Guerrero,Medium,Very Low,Very Low,High,S,C,ae,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Humacao-Hm(SJ),Humacao,Medium,Low,Low,Medium,L,L,h,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Humacao-HmB(H),Humacao,Medium,Very Low,Low,Medium,L,L,h,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Humatas-HmD2(M),Humatas,Medium,Medium,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Humatas-HmE(A),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Humatas-HmE2(M),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Humatas-HmE2(P),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Humatas-HmF(A),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,Humatas-HmF2(M),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Humatas-HmF2(P),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Humatas-HtE(SJ),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Humatas-HtE2(H),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Humatas-HtF(SJ),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Humatas-HtF2(H),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,HumatasHuE(M),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Humatas-HuF(H),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Humatas-HuF(SJ),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Humatas-HxF(P),Humatas,High,High,High,Low,C,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,Igualdad-Ig(M),Igualdad,Medium,Low,Medium,High,C,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Ingenio-InD(A),Ingenio,Medium,Medium,Medium,Medium,L,C,ae,AG 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Ingenio-InE(A),Ingenio,High,High,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Ingenio-InE2(H),Ingenio,High,High,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Islote-IsC(A),Islote,Medium,Low,Medium,Medium,L,C,h,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Jacaguas-Jg(P),Jacaguas,Very Low,Very Low,Medium,Medium,L,L,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Jacana-JaB(H),Jacana,Low,Low,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Jacana-JaB(L),Jacana,Low,Low,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Jacana-JaC(L),Jacana,Medium,Medium,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Jacana-JaC(M),Jacana,Medium,Medium,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Jacana-JaC2(H),Jacana,Medium,Medium,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Jacana-JaC2(L),Jacana,Medium,Medium,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Jacana-JaD2(L),Jacana,High,Medium,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Jacana-JcB(L),Jacana,Low,Low,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Jacana-JcC(L),Jacana,Medium,Medium,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Jacana-JnC(P),Jacana,Medium,Medium,Medium,Very Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Jagueyes-JaE2(SJ),Jagueyes,High,Medium,Medium,High,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Jagueyes-JgE2(H),Jagueyes,High,Medium,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Jareales-Ja(A),Jareales,Medium,Very Low,Medium,High,C,C,g,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Jaucas-Jd(M),Jaucas,Very Low,Very Low,Very Low,High,S,S,bd,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Jobos-JoB(M),Jobos,Medium,Very Low,Medium,Low,L,C,ae,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Jobos-JoC(A),Jobos,Medium,Low,Medium,Low,L,C,ae,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Juana Diaz-JzD(P),Juana Diaz,High,Medium,Medium,Medium,L,R,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Juana Diaz-JzE(P),Juana Diaz,Very High,High,Medium,Medium,L,R,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Juncal-JnD2(SJ),Juncal,High,Medium,Medium,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Juncal-JuD2(A),Juncal,High,Medium,Medium,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Juncal-JuD2(M),Juncal,High,Medium,Medium,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Juncal-JuE2(A),Juncal,Very High,High,Medium,Low,C,C,b,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Juncos-JuC(SJ),Juncos,Medium,High,Low,Very Low,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Juncos-JuD(SJ),Juncos,High,High,Low,Very Low,C,C,None,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Junquitos-JuC(H),Junquitos,High,Medium,Medium,Low,L,C,gh,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Lares-LaB(SJ),Lares,Medium,Low,Medium,Low,C,C,aeg,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Lares-LaB2(M),Lares,Medium,Low,Medium,Low,C,C,aeg,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Lares-LaC2(SJ),Lares,Medium,Medium,Medium,Low,C,C,aeg,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Lares-LaD2(M),Lares,Medium,Medium,Medium,Low,C,C,aeg,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Lares-LeC(P),Lares,Medium,Medium,Medium,Low,C,C,aeg,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Limones-LeE2(H),Limones,High,High,High,Medium,C,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Limones-LmE(SJ),Limones,High,High,High,Medium,C,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Limones-LmF(SJ),Limones,High,High,High,Medium,C,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Lirios-LcE2(A),Lirios,High,High,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Lirios-LcF2(A),Lirios,High,High,Medium,Medium,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Lirios-LmF2(P),Lirios,High,High,Medium,High,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Lirios-LoC2(H),Lirios,Medium,Medium,Medium,High,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Lirios-LoF2(SJ),Lirios,High,High,Medium,High,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Lirios-LrE2(H),Lirios,High,High,Medium,High,L,C,ae,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Llanos-LnB(P),Llanos,Low,Low,Medium,Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Llanos-LnC2(P),Llanos,Medium,Medium,Medium,Low,C,C,d,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Los Guineos-LgD(A),Los Guineos,High,Medium,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Los Guineos-LgE(A),Los Guineos,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Los Guineos-LgF(A),Los Guineos,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Los Guineos-LME(A),Los Guineos,High,High,High,Low,L,C,aei,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
